Model,Threshold,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC,Predicted Churners,Business Score
Tuned Gradient Boosting,0.2699999999999999,0.835625,0.5858310626702997,0.6595092024539877,0.6204906204906205,0.8618476177634811,0.6957424704660088,367,0.6259181371370235
Tuned Gradient Boosting,0.2799999999999999,0.843125,0.6068376068376068,0.6533742331288344,0.6292466765140325,0.8618476177634811,0.6957424704660088,351,0.6322609026039443
Tuned Gradient Boosting,0.2899999999999999,0.84125,0.6046511627906976,0.6380368098159509,0.6208955223880597,0.8618476177634811,0.6957424704660088,344,0.622923575871534
Tuned Gradient Boosting,0.29999999999999993,0.8475,0.6242424242424243,0.6319018404907976,0.6280487804878049,0.8618476177634811,0.6957424704660088,330,0.6284504328032684
Tuned Gradient Boosting,0.30999999999999994,0.84875,0.6346153846153846,0.6073619631901841,0.6206896551724138,0.8618476177634811,0.6957424704660088,312,0.6195661990854502
Tuned Gradient Boosting,0.3199999999999999,0.8525,0.6490066225165563,0.6012269938650306,0.6242038216560509,0.8618476177634811,0.6957424704660088,302,0.6225452294512687
Tuned Gradient Boosting,0.32999999999999985,0.8575,0.6689655172413793,0.5950920245398773,0.6298701298701299,0.8618476177634811,0.6957424704660088,290,0.6279033680514535
Tuned Gradient Boosting,0.33999999999999986,0.85875,0.6773049645390071,0.5858895705521472,0.6282894736842105,0.8618476177634811,0.6957424704660088,282,0.6263649390739607
Tuned Gradient Boosting,0.34999999999999987,0.858125,0.6787003610108303,0.5766871165644172,0.6235489220563848,0.8618476177634811,0.6957424704660088,277,0.6217641132190553
Tuned Gradient Boosting,0.3599999999999999,0.85625,0.6777777777777778,0.5613496932515337,0.6140939597315436,0.8618476177634811,0.6957424704660088,270,0.6126483761317211
Tuned Gradient Boosting,0.3699999999999999,0.86125,0.7,0.558282208588957,0.621160409556314,0.8618476177634811,0.6957424704660088,260,0.6204590757762934
Tuned Gradient Boosting,0.3799999999999999,0.8625,0.70703125,0.5552147239263804,0.6219931271477663,0.8618476177634811,0.6957424704660088,256,0.6217061886964244
Tuned Gradient Boosting,0.3899999999999999,0.865,0.7254098360655737,0.5429447852760736,0.6210526315789474,0.8618476177634811,0.6957424704660088,244,0.6224291223129734
Tuned Gradient Boosting,0.3999999999999998,0.865625,0.7361702127659574,0.5306748466257669,0.6167557932263814,0.8618476177634811,0.6957424704660088,235,0.6198144140949564
Tuned Gradient Boosting,0.4099999999999998,0.86625,0.7477876106194691,0.5184049079754601,0.6123188405797102,0.8618476177634811,0.6957424704660088,226,0.6174716404217133
Tuned Gradient Boosting,0.4199999999999998,0.865625,0.751131221719457,0.50920245398773,0.6069469835466179,0.8618476177634811,0.6957424704660088,221,0.613426428605612
Tuned Gradient Boosting,0.4299999999999998,0.86375,0.7477064220183486,0.5,0.5992647058823529,0.8618476177634811,0.6957424704660088,218,0.6065501888828926
Tuned Gradient Boosting,0.43999999999999984,0.8625,0.75,0.48773006134969327,0.5910780669144982,0.8618476177634811,0.6957424704660088,212,0.6001941409902616
Tuned Gradient Boosting,0.44999999999999984,0.861875,0.7536231884057971,0.4785276073619632,0.5853658536585366,0.8618476177634811,0.6957424704660088,207,0.5961787099866197
Tuned Gradient Boosting,0.45999999999999985,0.863125,0.7635467980295566,0.4754601226993865,0.5860113421550095,0.8618476177634811,0.6957424704660088,203,0.5984007029560706
Tuned Gradient Boosting,0.46999999999999986,0.8625,0.7676767676767676,0.4662576687116564,0.5801526717557252,0.8618476177634811,0.6957424704660088,198,0.5945333539582591
Tuned Gradient Boosting,0.47999999999999976,0.86125,0.7736842105263158,0.450920245398773,0.5697674418604651,0.8618476177634811,0.6957424704660088,190,0.5876570724857514
Tuned Gradient Boosting,0.48999999999999977,0.85875,0.7717391304347826,0.43558282208588955,0.5568627450980392,0.8618476177634811,0.6957424704660088,184,0.5774935146104321
Tuned Gradient Boosting,0.4999999999999998,0.859375,0.7790055248618785,0.4325153374233129,0.5562130177514792,0.8618476177634811,0.6957424704660088,181,0.5785264390924441
Tuned Gradient Boosting,0.5099999999999998,0.85875,0.7777777777777778,0.4294478527607362,0.5533596837944664,0.8618476177634811,0.6957424704660088,180,0.5761456927234468
Tuned Gradient Boosting,0.5199999999999998,0.859375,0.7853107344632768,0.4263803680981595,0.5526838966202783,0.8618476177634811,0.6957424704660088,177,0.5772667020303743
