Model,Threshold,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC,Predicted Churners,Business Score
Tuned Decision Tree,0.23999999999999994,0.7725,0.4648148148148148,0.7699386503067485,0.5796766743648961,0.8474371815739038,0.6453918337682708,540,0.6250929126962013
Tuned Decision Tree,0.24999999999999992,0.791875,0.4922048997772829,0.6779141104294478,0.5703225806451613,0.8474371815739038,0.6453918337682708,449,0.5913975807443328
Tuned Decision Tree,0.2599999999999999,0.791875,0.4922048997772829,0.6779141104294478,0.5703225806451613,0.8474371815739038,0.6453918337682708,449,0.5913975807443328
Tuned Decision Tree,0.2699999999999999,0.805,0.5170731707317073,0.6503067484662577,0.5760869565217391,0.8474371815739038,0.6453918337682708,410,0.5888310378702614
Tuned Decision Tree,0.2799999999999999,0.805,0.5170731707317073,0.6503067484662577,0.5760869565217391,0.8474371815739038,0.6453918337682708,410,0.5888310378702614
Tuned Decision Tree,0.2899999999999999,0.805,0.5170731707317073,0.6503067484662577,0.5760869565217391,0.8474371815739038,0.6453918337682708,410,0.5888310378702614
Tuned Decision Tree,0.29999999999999993,0.805,0.5170731707317073,0.6503067484662577,0.5760869565217391,0.8474371815739038,0.6453918337682708,410,0.5888310378702614
Tuned Decision Tree,0.30999999999999994,0.805,0.5170731707317073,0.6503067484662577,0.5760869565217391,0.8474371815739038,0.6453918337682708,410,0.5888310378702614
Tuned Decision Tree,0.3199999999999999,0.839375,0.6273062730627307,0.5214723926380368,0.5695142378559463,0.8474371815739038,0.6453918337682708,271,0.5681226198302616
Tuned Decision Tree,0.32999999999999985,0.839375,0.6273062730627307,0.5214723926380368,0.5695142378559463,0.8474371815739038,0.6453918337682708,271,0.5681226198302616
Tuned Decision Tree,0.33999999999999986,0.839375,0.6273062730627307,0.5214723926380368,0.5695142378559463,0.8474371815739038,0.6453918337682708,271,0.5681226198302616
Tuned Decision Tree,0.34999999999999987,0.84625,0.6612903225806451,0.5030674846625767,0.5714285714285714,0.8474371815739038,0.6453918337682708,248,0.5721176952870995
Tuned Decision Tree,0.3599999999999999,0.84625,0.6612903225806451,0.5030674846625767,0.5714285714285714,0.8474371815739038,0.6453918337682708,248,0.5721176952870995
Tuned Decision Tree,0.3699999999999999,0.84875,0.6794871794871795,0.48773006134969327,0.5678571428571428,0.8474371815739038,0.6453918337682708,234,0.5708704689993034
Tuned Decision Tree,0.3799999999999999,0.84875,0.6794871794871795,0.48773006134969327,0.5678571428571428,0.8474371815739038,0.6453918337682708,234,0.5708704689993034
Tuned Decision Tree,0.3899999999999999,0.84875,0.6794871794871795,0.48773006134969327,0.5678571428571428,0.8474371815739038,0.6453918337682708,234,0.5708704689993034
Tuned Decision Tree,0.3999999999999998,0.84875,0.6794871794871795,0.48773006134969327,0.5678571428571428,0.8474371815739038,0.6453918337682708,234,0.5708704689993034
Tuned Decision Tree,0.4099999999999998,0.84875,0.6794871794871795,0.48773006134969327,0.5678571428571428,0.8474371815739038,0.6453918337682708,234,0.5708704689993034
Tuned Decision Tree,0.4199999999999998,0.84875,0.6794871794871795,0.48773006134969327,0.5678571428571428,0.8474371815739038,0.6453918337682708,234,0.5708704689993034
Tuned Decision Tree,0.4299999999999998,0.84875,0.6794871794871795,0.48773006134969327,0.5678571428571428,0.8474371815739038,0.6453918337682708,234,0.5708704689993034
Tuned Decision Tree,0.43999999999999984,0.851875,0.6995515695067265,0.4785276073619632,0.5683060109289617,0.8474371815739038,0.6453918337682708,223,0.57384167482603
