Model,Threshold,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC,Predicted Churners,Business Score
Tuned XGBoost,0.45999999999999985,0.774375,0.4677716390423573,0.7791411042944786,0.5845799769850403,0.8635354566555269,0.69506319499786,543,0.6312495659943484
Tuned XGBoost,0.46999999999999986,0.78375,0.48091603053435117,0.7730061349693251,0.5929411764705882,0.8635354566555269,0.69506319499786,524,0.6347616067173368
Tuned XGBoost,0.47999999999999976,0.78875,0.4881889763779528,0.7607361963190185,0.5947242206235012,0.8635354566555269,0.69506319499786,508,0.632142274200542
Tuned XGBoost,0.48999999999999977,0.795,0.4979757085020243,0.754601226993865,0.6,0.8635354566555269,0.69506319499786,494,0.6338620501229477
Tuned XGBoost,0.4999999999999998,0.79875,0.5040983606557377,0.754601226993865,0.6044226044226044,0.8635354566555269,0.69506319499786,488,0.6368894992612684
Tuned XGBoost,0.5099999999999998,0.804375,0.5138592750533049,0.7392638036809815,0.6062893081761006,0.8635354566555269,0.69506319499786,469,0.6337773195603185
Tuned XGBoost,0.5199999999999998,0.80875,0.5221238938053098,0.7239263803680982,0.6066838046272494,0.8635354566555269,0.69506319499786,452,0.6298469949229525
Tuned XGBoost,0.5299999999999998,0.8175,0.5389908256880734,0.7208588957055214,0.6167979002624672,0.8635354566555269,0.69506319499786,436,0.6363928721108038
Tuned XGBoost,0.5399999999999998,0.821875,0.548926014319809,0.7055214723926381,0.6174496644295302,0.8635354566555269,0.69506319499786,419,0.6330987004745263
Tuned XGBoost,0.5499999999999998,0.8225,0.5514705882352942,0.6901840490797546,0.6130790190735694,0.8635354566555269,0.69506319499786,408,0.6262133317829565
Tuned XGBoost,0.5599999999999997,0.833125,0.5762273901808785,0.6840490797546013,0.6255259467040674,0.8635354566555269,0.69506319499786,387,0.6346068617936915
Tuned XGBoost,0.5699999999999997,0.83625,0.5851063829787234,0.6748466257668712,0.6267806267806267,0.8635354566555269,0.69506319499786,376,0.6338243409937706
Tuned XGBoost,0.5799999999999997,0.840625,0.5983379501385041,0.6625766871165644,0.62882096069869,0.8635354566555269,0.69506319499786,361,0.6333419838906684
Tuned XGBoost,0.5899999999999997,0.84375,0.6091954022988506,0.6503067484662577,0.629080118694362,0.8635354566555269,0.69506319499786,348,0.6316724513532861
Tuned XGBoost,0.5999999999999998,0.844375,0.6142433234421365,0.6349693251533742,0.6244343891402715,0.8635354566555269,0.69506319499786,337,0.6256082373518205
Tuned XGBoost,0.6099999999999998,0.84625,0.6204819277108434,0.6319018404907976,0.6261398176291794,0.8635354566555269,0.69506319499786,332,0.62675246644549
Tuned XGBoost,0.6199999999999998,0.85125,0.6383647798742138,0.6226993865030674,0.6304347826086957,0.8635354566555269,0.69506319499786,318,0.6297293534040943
Tuned XGBoost,0.6299999999999997,0.853125,0.6482084690553745,0.6104294478527608,0.6287519747235387,0.8635354566555269,0.69506319499786,307,0.6273166106478312
Tuned XGBoost,0.6399999999999997,0.855625,0.6578073089700996,0.6073619631901841,0.631578947368421,0.8635354566555269,0.69506319499786,301,0.6298612310488019
Tuned XGBoost,0.6499999999999997,0.860625,0.6769759450171822,0.6042944785276073,0.6385737439222042,0.8635354566555269,0.69506319499786,291,0.6365888448778779
Tuned XGBoost,0.6599999999999997,0.863125,0.6917562724014337,0.5920245398773006,0.6380165289256199,0.8635354566555269,0.69506319499786,279,0.636129044070411
Tuned XGBoost,0.6699999999999997,0.865,0.7037037037037037,0.5828220858895705,0.6375838926174496,0.8635354566555269,0.69506319499786,270,0.636083013470093
Tuned XGBoost,0.6799999999999997,0.86625,0.7121212121212122,0.5766871165644172,0.6372881355932203,0.8635354566555269,0.69506319499786,264,0.636209253815056
